"orderNumber";"orderDate";"requiredDate";"shippedDate";"status";"comments";"customerNumber"
10100;"2003-01-06 00:00:00";"2003-01-13 00:00:00";"2003-01-10 00:00:00";"Shipped";"";363
10101;"2003-01-09 00:00:00";"2003-01-18 00:00:00";"2003-01-11 00:00:00";"Shipped";"Check on availability.";128
10102;"2003-01-10 00:00:00";"2003-01-18 00:00:00";"2003-01-14 00:00:00";"Shipped";"";181
10103;"2003-01-29 00:00:00";"2003-02-07 00:00:00";"2003-02-02 00:00:00";"Shipped";"";121
10104;"2003-01-31 00:00:00";"2003-02-09 00:00:00";"2003-02-01 00:00:00";"Shipped";"";141
10105;"2003-02-11 00:00:00";"2003-02-21 00:00:00";"2003-02-12 00:00:00";"Shipped";"";145
10106;"2003-02-17 00:00:00";"2003-02-24 00:00:00";"2003-02-21 00:00:00";"Shipped";"";278
10107;"2003-02-24 00:00:00";"2003-03-03 00:00:00";"2003-02-26 00:00:00";"Shipped";"Difficult to negotiate with customer. We need more marketing materials";131
10108;"2003-03-03 00:00:00";"2003-03-12 00:00:00";"2003-03-08 00:00:00";"Shipped";"";385
10109;"2003-03-10 00:00:00";"2003-03-19 00:00:00";"2003-03-11 00:00:00";"Shipped";"Customer requested that FedEx Ground is used for this shipping";486
10110;"2003-03-18 00:00:00";"2003-03-24 00:00:00";"2003-03-20 00:00:00";"Shipped";"";187
10111;"2003-03-25 00:00:00";"2003-03-31 00:00:00";"2003-03-30 00:00:00";"Shipped";"";129
10112;"2003-03-24 00:00:00";"2003-04-03 00:00:00";"2003-03-29 00:00:00";"Shipped";"Customer requested that ad materials (such as posters, pamphlets) be included in the shipment";144
10113;"2003-03-26 00:00:00";"2003-04-02 00:00:00";"2003-03-27 00:00:00";"Shipped";"";124
10114;"2003-04-01 00:00:00";"2003-04-07 00:00:00";"2003-04-02 00:00:00";"Shipped";"";172
10115;"2003-04-04 00:00:00";"2003-04-12 00:00:00";"2003-04-07 00:00:00";"Shipped";"";424
10116;"2003-04-11 00:00:00";"2003-04-19 00:00:00";"2003-04-13 00:00:00";"Shipped";"";381
10117;"2003-04-16 00:00:00";"2003-04-24 00:00:00";"2003-04-17 00:00:00";"Shipped";"";148
10118;"2003-04-21 00:00:00";"2003-04-29 00:00:00";"2003-04-26 00:00:00";"Shipped";"Customer has worked with some of our vendors in the past and is aware of their MSRP";216
10119;"2003-04-28 00:00:00";"2003-05-05 00:00:00";"2003-05-02 00:00:00";"Shipped";"";382
10120;"2003-04-29 00:00:00";"2003-05-08 00:00:00";"2003-05-01 00:00:00";"Shipped";"";114
10121;"2003-05-07 00:00:00";"2003-05-13 00:00:00";"2003-05-13 00:00:00";"Shipped";"";353
10122;"2003-05-08 00:00:00";"2003-05-16 00:00:00";"2003-05-13 00:00:00";"Shipped";"";350
10123;"2003-05-20 00:00:00";"2003-05-29 00:00:00";"2003-05-22 00:00:00";"Shipped";"";103
10124;"2003-05-21 00:00:00";"2003-05-29 00:00:00";"2003-05-25 00:00:00";"Shipped";"Customer very concerned about the exact color of the models. There is high risk that he may dispute the order because there is a slight color mismatch";112
10125;"2003-05-21 00:00:00";"2003-05-27 00:00:00";"2003-05-24 00:00:00";"Shipped";"";114
10126;"2003-05-28 00:00:00";"2003-06-07 00:00:00";"2003-06-02 00:00:00";"Shipped";"";458
10127;"2003-06-03 00:00:00";"2003-06-09 00:00:00";"2003-06-06 00:00:00";"Shipped";"Customer requested special shipment. The instructions were passed along to the warehouse";151
10128;"2003-06-06 00:00:00";"2003-06-12 00:00:00";"2003-06-11 00:00:00";"Shipped";"";141
10129;"2003-06-12 00:00:00";"2003-06-18 00:00:00";"2003-06-14 00:00:00";"Shipped";"";324
10130;"2003-06-16 00:00:00";"2003-06-24 00:00:00";"2003-06-21 00:00:00";"Shipped";"";198
10131;"2003-06-16 00:00:00";"2003-06-25 00:00:00";"2003-06-21 00:00:00";"Shipped";"";447
10132;"2003-06-25 00:00:00";"2003-07-01 00:00:00";"2003-06-28 00:00:00";"Shipped";"";323
10133;"2003-06-27 00:00:00";"2003-07-04 00:00:00";"2003-07-03 00:00:00";"Shipped";"";141
10134;"2003-07-01 00:00:00";"2003-07-10 00:00:00";"2003-07-05 00:00:00";"Shipped";"";250
10135;"2003-07-02 00:00:00";"2003-07-12 00:00:00";"2003-07-03 00:00:00";"Shipped";"";124
10136;"2003-07-04 00:00:00";"2003-07-14 00:00:00";"2003-07-06 00:00:00";"Shipped";"Customer is interested in buying more Ferrari models";242
10137;"2003-07-10 00:00:00";"2003-07-20 00:00:00";"2003-07-14 00:00:00";"Shipped";"";353
10138;"2003-07-07 00:00:00";"2003-07-16 00:00:00";"2003-07-13 00:00:00";"Shipped";"";496
10139;"2003-07-16 00:00:00";"2003-07-23 00:00:00";"2003-07-21 00:00:00";"Shipped";"";282
10140;"2003-07-24 00:00:00";"2003-08-02 00:00:00";"2003-07-30 00:00:00";"Shipped";"";161
10141;"2003-08-01 00:00:00";"2003-08-09 00:00:00";"2003-08-04 00:00:00";"Shipped";"";334
10142;"2003-08-08 00:00:00";"2003-08-16 00:00:00";"2003-08-13 00:00:00";"Shipped";"";124
10143;"2003-08-10 00:00:00";"2003-08-18 00:00:00";"2003-08-12 00:00:00";"Shipped";"Can we deliver the new Ford Mustang models by end-of-quarter?";320
10144;"2003-08-13 00:00:00";"2003-08-21 00:00:00";"2003-08-14 00:00:00";"Shipped";"";381
10145;"2003-08-25 00:00:00";"2003-09-02 00:00:00";"2003-08-31 00:00:00";"Shipped";"";205
10146;"2003-09-03 00:00:00";"2003-09-13 00:00:00";"2003-09-06 00:00:00";"Shipped";"";447
10147;"2003-09-05 00:00:00";"2003-09-12 00:00:00";"2003-09-09 00:00:00";"Shipped";"";379
10148;"2003-09-11 00:00:00";"2003-09-21 00:00:00";"2003-09-15 00:00:00";"Shipped";"They want to reevaluate their terms agreement with Finance.";276
10149;"2003-09-12 00:00:00";"2003-09-18 00:00:00";"2003-09-17 00:00:00";"Shipped";"";487
10150;"2003-09-19 00:00:00";"2003-09-27 00:00:00";"2003-09-21 00:00:00";"Shipped";"They want to reevaluate their terms agreement with Finance.";148
10151;"2003-09-21 00:00:00";"2003-09-30 00:00:00";"2003-09-24 00:00:00";"Shipped";"";311
10152;"2003-09-25 00:00:00";"2003-10-03 00:00:00";"2003-10-01 00:00:00";"Shipped";"";333
10153;"2003-09-28 00:00:00";"2003-10-05 00:00:00";"2003-10-03 00:00:00";"Shipped";"";141
10154;"2003-10-02 00:00:00";"2003-10-12 00:00:00";"2003-10-08 00:00:00";"Shipped";"";219
10155;"2003-10-06 00:00:00";"2003-10-13 00:00:00";"2003-10-07 00:00:00";"Shipped";"";186
10156;"2003-10-08 00:00:00";"2003-10-17 00:00:00";"2003-10-11 00:00:00";"Shipped";"";141
10157;"2003-10-09 00:00:00";"2003-10-15 00:00:00";"2003-10-14 00:00:00";"Shipped";"";473
10158;"2003-10-10 00:00:00";"2003-10-18 00:00:00";"2003-10-15 00:00:00";"Shipped";"";121
